0;;;;;;;;;;;;
1;0.335938;0.857586;-0.34375;0.183105;0.0078125;-0.0195313;0.0351563;0.441406;0.527344;-0.699219;-0.34375;-0.371094;0.207031
2;0.596069;0.431641;-0.35791;0.574707;0;0;0.0273438;0.101563;0.03125;-0.988281;-0.246094;0.0625;0.457031
3;0.196777;0.523438;-0.710166;0.427734;0.0078125;0;0.0507813;-0.402344;-0.0859375;-0.925781;0.0390625;-0.0820313;0.503906
4;0.192383;0.627504;-0.619141;0.431152;0;-0.015625;0.0859375;-0.292969;0.15625;-0.953125;-0.0976563;-0.449219;0.964844
5;0.701881;0.375488;-0.564941;-0.217285;-0.03125;-0.015625;0;0.765625;-0.617188;-0.117188;-0.460938;0.160156;0.0078125
0.019;;;;;;;;;;;;
1;0.335938;0.857586;-0.34375;0.183105;0.00390625;-0.0117188;0.0351563;0.441406;0.527344;-0.699219;-0.34375;-0.371094;0.207031
2;0.59654;0.431641;-0.35791;0.574219;0.00390625;0.00390625;0.0195313;0.101563;0.03125;-0.988281;-0.246094;0.0625;0.457031
3;0.196777;0.523438;-0.710166;0.427734;0.0117188;0;0.0429688;-0.402344;-0.0859375;-0.925781;0.0390625;-0.0820313;0.503906
4;0.192383;0.627504;-0.619141;0.431152;0.0078125;-0.0234375;0.078125;-0.292969;0.15625;-0.953125;-0.0976563;-0.449219;0.964844
5;0.701881;0.375488;-0.564941;-0.217285;0;-0.0078125;0.00390625;0.765625;-0.617188;-0.117188;-0.460938;0.160156;0.0078125
0.031;;;;;;;;;;;;
1;0.336426;0.857395;-0.34375;0.183105;0.00390625;-0.0078125;0.0390625;0.441406;0.527344;-0.699219;-0.34375;-0.371094;0.207031
2;0.59654;0.431641;-0.35791;0.574219;0.00390625;0.0117188;0.0195313;0.101563;0.03125;-0.988281;-0.246094;0.0625;0.457031
3;0.196777;0.523438;-0.710166;0.427734;0.015625;-0.00390625;0.0429688;-0.402344;-0.0859375;-0.925781;0.0390625;-0.0820313;0.503906
4;0.192383;0.627504;-0.619141;0.431152;0.0195313;-0.03125;0.0703125;-0.292969;0.15625;-0.953125;-0.0976563;-0.449219;0.964844
5;0.702142;0.375;-0.564941;-0.217285;0.0117188;0.00390625;0.00390625;0.769531;-0.617188;-0.117188;-0.460938;0.160156;0.0078125
0.037;;;;;;;;;;;;
1;0.336426;0.857395;-0.34375;0.183105;0;-0.00390625;0.03125;0.441406;0.527344;-0.699219;-0.34375;-0.371094;0.207031
2;0.596186;0.432129;-0.35791;0.574219;0.0078125;0.015625;0.0195313;0.101563;0.03125;-0.988281;-0.246094;0.0625;0.457031
3;0.196777;0.523438;-0.710459;0.427246;0.0117188;-0.00390625;0.03125;-0.402344;-0.0859375;-0.925781;0.0390625;-0.0820313;0.503906
4;0.191895;0.627989;-0.619141;0.430664;0.0273438;-0.0351563;0.0625;-0.292969;0.15625;-0.953125;-0.0976563;-0.449219;0.964844
5;0.702383;0.375;-0.564453;-0.217773;0.0195313;0.00390625;0.0234375;0.769531;-0.617188;-0.117188;-0.460938;0.160156;0.0078125
0.045;;;;;;;;;;;;
1;0.336426;0.857499;-0.34375;0.182617;0;0;0.03125;0.441406;0.527344;-0.699219;-0.34375;-0.371094;0.207031
2;0.596656;0.432129;-0.35791;0.57373;0;0.0195313;0.03125;0.101563;0.03125;-0.988281;-0.246094;0.0625;0.457031
3;0.196777;0.523926;-0.710099;0.427246;0.00390625;0;0.0273438;-0.402344;-0.0859375;-0.925781;0.0390625;-0.0820313;0.503906
4;0.191895;0.627507;-0.619629;0.430664;0.0195313;-0.0351563;0.0625;-0.292969;0.15625;-0.953125;-0.0976563;-0.449219;0.964844
5;0.702383;0.375;-0.564453;-0.217773;0.0117188;0;0.015625;0.769531;-0.617188;-0.117188;-0.460938;0.160156;0.0078125
0.081;;;;;;;;;;;;
1;0.336914;0.857307;-0.34375;0.182617;0.0078125;0.00390625;0.015625;0.445313;0.527344;-0.699219;-0.34375;-0.371094;0.207031
2;0.596363;0.432129;-0.358398;0.57373;0;-0.00390625;0.0390625;0.101563;0.03125;-0.988281;-0.246094;0.0625;0.457031
3;0.197266;0.524414;-0.709897;0.426758;-0.0117188;0.00390625;0.0195313;-0.402344;-0.0859375;-0.925781;0.0390625;-0.0820313;0.503906
4;0.191895;0.628176;-0.619629;0.429688;0.015625;0.00390625;0.0664063;-0.289063;0.15625;-0.953125;-0.0976563;-0.449219;0.964844
5;0.701709;0.375977;-0.564453;-0.218262;-0.015625;-0.0078125;-0.0351563;0.769531;-0.617188;-0.117188;-0.460938;0.160156;0.0078125
0.091;;;;;;;;;;;;
