0;;;;;;;;;;;;
1;0.297363;0.845759;-0.414551;0.15625;-0.00390625;0.015625;0.015625;0.363281;0.46875;-0.777344;-0.308594;-0.382813;0.269531
2;0.542589;0.474121;-0.433105;0.541504;0.00390625;0.015625;-0.0585938;0.0429688;0.0351563;-0.992188;-0.238281;0.0195313;0.472656
3;0.186523;0.515625;-0.723191;0.419922;0.0273438;-0.0117188;0.0390625;-0.417969;-0.117188;-0.917969;0.0429688;-0.0742188;0.511719
4;0.210449;0.632944;-0.584961;0.461426;0.00390625;-0.046875;0.0429688;-0.273438;0.222656;-0.945313;-0.101563;-0.464844;0.960938
5;0.699266;0.410156;-0.571777;-0.125977;0.00390625;-0.00390625;0.0195313;0.714844;-0.628906;-0.289063;-0.460938;0.183594;0.0820313
0.008;;;;;;;;;;;;
1;0.297363;0.845998;-0.414063;0.15625;0.00390625;0.0117188;0.0078125;0.363281;0.46875;-0.777344;-0.308594;-0.382813;0.265625
2;0.543075;0.474121;-0.433105;0.541016;0.0078125;0.0078125;-0.0507813;0.0429688;0.0351563;-0.992188;-0.238281;0.0195313;0.472656
3;0.186523;0.515625;-0.723191;0.419922;0.015625;-0.015625;0.0078125;-0.417969;-0.117188;-0.917969;0.0429688;-0.0742188;0.511719
4;0.210449;0.632944;-0.584961;0.461426;0;-0.046875;0.0351563;-0.273438;0.222656;-0.945313;-0.101563;-0.464844;0.960938
5;0.698891;0.410645;-0.571777;-0.126465;0;-0.0078125;0.0351563;0.714844;-0.628906;-0.289063;-0.460938;0.183594;0.0820313
0.022;;;;;;;;;;;;
1;0.297363;0.845998;-0.414063;0.15625;0;0.0078125;0;0.363281;0.46875;-0.777344;-0.308594;-0.382813;0.265625
2;0.542259;0.474609;-0.433594;0.541016;0.00390625;0;-0.0429688;0.0429688;0.0351563;-0.992188;-0.238281;0.0195313;0.472656
3;0.186523;0.515625;-0.723475;0.419434;0.0117188;-0.015625;0;-0.417969;-0.113281;-0.917969;0.0429688;-0.0742188;0.511719
4;0.210938;0.633137;-0.584961;0.460938;-0.0117188;-0.0390625;0.0234375;-0.269531;0.222656;-0.945313;-0.101563;-0.464844;0.960938
5;0.698891;0.410645;-0.571777;-0.126465;0.0078125;-0.0273438;0.0273438;0.714844;-0.625;-0.289063;-0.460938;0.183594;0.0820313
0.034;;;;;;;;;;;;
1;0.297363;0.845998;-0.414063;0.15625;0.00390625;0.00390625;0.00390625;0.367188;0.46875;-0.777344;-0.308594;-0.382813;0.265625
2;0.542745;0.474609;-0.433594;0.540527;0;0;-0.03125;0.0429688;0.0351563;-0.992188;-0.238281;0.0195313;0.472656
3;0.186523;0.516113;-0.723126;0.419434;0.00390625;-0.0117188;0;-0.417969;-0.113281;-0.917969;0.0429688;-0.0742188;0.511719
4;0.210938;0.633492;-0.584961;0.460449;-0.0117188;-0.0351563;0;-0.269531;0.222656;-0.945313;-0.101563;-0.464844;0.960938
5;0.698891;0.410645;-0.571777;-0.126465;0.03125;-0.0507813;0.0234375;0.714844;-0.625;-0.289063;-0.460938;0.183594;0.0820313
0.069;;;;;;;;;;;;
1;0.297363;0.846327;-0.413574;0.155762;-0.0078125;-0.00390625;0.00390625;0.367188;0.472656;-0.777344;-0.308594;-0.382813;0.265625
2;0.542804;0.475098;-0.433594;0.540039;0;0;0.0273438;0.0429688;0.0351563;-0.992188;-0.242188;0.0195313;0.472656
3;0.186035;0.517578;-0.722771;0.418457;-0.0195313;-0.0078125;-0.0664063;-0.414063;-0.113281;-0.917969;0.0429688;-0.0742188;0.511719
4;0.210449;0.634619;-0.585449;0.458496;-0.0078125;-0.00390625;-0.0546875;-0.269531;0.222656;-0.945313;-0.101563;-0.464844;0.960938
