0;;;;;;;;;;;;
1;0.334473;0.765479;-0.384277;0.393066;-0.0078125;0;0.03125;0.203125;0.46875;-0.835938;-0.289063;-0.300781;0.324219
2;0.654785;0.256836;-0.233398;0.671429;0;-0.0117188;0.0742188;0.0195313;0.03125;-0.996094;-0.121094;0.113281;0.457031
3;0.40918;0.401855;-0.541992;0.614271;0.015625;0.015625;0.0898438;-0.339844;0.0742188;-0.949219;-0.0117188;-0.0234375;0.492188
4;0.264648;0.63147;-0.545898;0.48291;0.0273438;-0.0234375;0.140625;-0.175781;0.238281;-0.960938;-0.0898438;-0.417969;0.921875
5;0.764776;0.381348;-0.461426;-0.238281;-0.0976563;0.0273438;-0.0195313;0.796875;-0.589844;0.0117188;-0.453125;0.152344;-0.0820313
0.014;;;;;;;;;;;;
1;0.334961;0.765265;-0.384277;0.393066;0;-0.0078125;0.046875;0.203125;0.46875;-0.835938;-0.289063;-0.300781;0.324219
2;0.655273;0.255859;-0.234375;0.670985;0.00390625;-0.00390625;0.0546875;0.0195313;0.03125;-0.996094;-0.121094;0.113281;0.457031
3;0.409668;0.401855;-0.541992;0.613945;0.0195313;0.015625;0.078125;-0.339844;0.0742188;-0.949219;-0.0117188;-0.0234375;0.492188
4;0.26416;0.633162;-0.545898;0.480957;0.00390625;-0.0234375;0.117188;-0.175781;0.242188;-0.964844;-0.0898438;-0.417969;0.921875
5;0.764928;0.381348;-0.461426;-0.237793;-0.0703125;-0.00390625;0;0.796875;-0.589844;0.0078125;-0.453125;0.152344;-0.0820313
0.024;;;;;;;;;;;;
1;0.334961;0.765265;-0.384277;0.393066;0.0078125;-0.0117188;0.0429688;0.207031;0.46875;-0.835938;-0.289063;-0.300781;0.324219
2;0.655762;0.256836;-0.233398;0.670475;0.0078125;0.00390625;0.03125;0.0234375;0.0273438;-0.996094;-0.121094;0.113281;0.457031
3;0.409668;0.401855;-0.541504;0.614376;0.015625;0.00390625;0.046875;-0.339844;0.0742188;-0.949219;-0.0117188;-0.0234375;0.492188
4;0.26416;0.633533;-0.545898;0.480469;-0.0078125;-0.0273438;0.0859375;-0.171875;0.242188;-0.964844;-0.0898438;-0.417969;0.921875
5;0.76508;0.381348;-0.461426;-0.237305;-0.0429688;-0.0195313;0.015625;0.796875;-0.589844;0.0078125;-0.453125;0.152344;-0.0820313
0.035;;;;;;;;;;;;
1;0.335449;0.765045;-0.383789;0.393555;0.0195313;-0.00390625;0.0429688;0.207031;0.46875;-0.835938;-0.289063;-0.300781;0.324219
2;0.65625;0.256836;-0.23291;0.670167;0.015625;0.0078125;0.0195313;0.0234375;0.0273438;-0.996094;-0.121094;0.113281;0.457031
3;0.409668;0.401855;-0.541504;0.614376;0.00390625;0;0.0351563;-0.339844;0.0742188;-0.949219;-0.0117188;-0.0234375;0.492188
4;0.26416;0.635377;-0.545898;0.478027;-0.0078125;-0.0273438;0.0625;-0.171875;0.242188;-0.964844;-0.0898438;-0.417969;0.925781
5;0.76508;0.381348;-0.461426;-0.237305;-0.015625;-0.015625;0.03125;0.796875;-0.589844;0.0078125;-0.453125;0.152344;-0.0820313
0.046;;;;;;;;;;;;
1;0.335449;0.765045;-0.383789;0.393555;0;-0.0078125;0.03125;0.207031;0.472656;-0.835938;-0.289063;-0.300781;0.324219
