0;;;;;;;;;;;;
1;0.304688;0.849283;-0.407227;0.141602;0.0195313;0.00390625;0.0117188;0.390625;0.472656;-0.761719;-0.316406;-0.382813;0.253906
2;0.554688;0.456543;-0.393066;0.573924;0;-0.0117188;-0.0078125;0.0546875;0.0703125;-0.988281;-0.234375;0.0234375;0.476563
3;0.225586;0.496094;-0.706715;0.451172;-0.0117188;0.0195313;0.00390625;-0.417969;-0.101563;-0.914063;0.0273438;-0.0625;0.515625
4;0.212891;0.656309;-0.594727;0.412598;0.0351563;-0.0117188;0.0429688;-0.210938;0.199219;-0.964844;-0.136719;-0.464844;0.964844
5;0.667579;0.441895;-0.55957;-0.214355;-0.00390625;0.0195313;0;0.824219;-0.511719;-0.207031;-0.496094;0.109375;0.046875
0.012;;;;;;;;;;;;
1;0.304688;0.849283;-0.407227;0.141602;0.015625;0.00390625;0.00390625;0.390625;0.472656;-0.761719;-0.316406;-0.382813;0.253906
2;0.554688;0.457031;-0.393066;0.573536;-0.0078125;-0.0078125;-0.0078125;0.0546875;0.0703125;-0.988281;-0.234375;0.0234375;0.476563
3;0.225586;0.496094;-0.706715;0.451172;-0.00390625;0.0195313;0.0195313;-0.417969;-0.101563;-0.914063;0.0273438;-0.0625;0.515625
4;0.212891;0.656309;-0.594727;0.412598;0.0351563;-0.00390625;0.046875;-0.210938;0.199219;-0.964844;-0.136719;-0.464844;0.964844
5;0.667988;0.441895;-0.559082;-0.214355;-0.0234375;0.0234375;-0.0117188;0.824219;-0.511719;-0.207031;-0.496094;0.109375;0.046875
0.026;;;;;;;;;;;;
1;0.304199;0.849458;-0.407227;0.141602;0.0117188;0;0;0.390625;0.472656;-0.761719;-0.316406;-0.382813;0.253906
2;0.554688;0.457031;-0.393066;0.573536;0;-0.00390625;0.00390625;0.0546875;0.0703125;-0.988281;-0.234375;0.0234375;0.476563
3;0.225098;0.496094;-0.706871;0.451172;0.00390625;0.0195313;0.0351563;-0.417969;-0.101563;-0.914063;0.0273438;-0.0625;0.515625
4;0.212891;0.656001;-0.594727;0.413086;0.0273438;-0.0078125;0.078125;-0.210938;0.199219;-0.964844;-0.140625;-0.464844;0.964844
5;0.668073;0.442383;-0.558594;-0.214355;-0.0546875;0.03125;-0.015625;0.824219;-0.511719;-0.207031;-0.496094;0.109375;0.046875
0.037;;;;;;;;;;;;
1;0.304199;0.849458;-0.407227;0.141602;0.0078125;0;-0.0078125;0.390625;0.472656;-0.761719;-0.316406;-0.382813;0.253906
2;0.554688;0.456543;-0.393555;0.57359;0.0078125;-0.0078125;0.0078125;0.0546875;0.0703125;-0.988281;-0.234375;0.0234375;0.476563
3;0.225586;0.496094;-0.706715;0.451172;0.0078125;0.015625;0.046875;-0.417969;-0.101563;-0.914063;0.0273438;-0.0625;0.515625
4;0.212891;0.656001;-0.594727;0.413086;0.0195313;-0.015625;0.0976563;-0.210938;0.199219;-0.964844;-0.140625;-0.464844;0.964844
5;0.668073;0.442383;-0.558594;-0.214355;-0.0859375;0.03125;-0.00390625;0.824219;-0.511719;-0.203125;-0.496094;0.109375;0.046875
0.049;;;;;;;;;;;;
1;0.304199;0.849458;-0.407227;0.141602;0;0;-0.00390625;0.390625;0.472656;-0.761719;-0.316406;-0.382813;0.253906
2;0.554688;0.456543;-0.393555;0.57359;0.0117188;-0.0117188;0.0234375;0.0546875;0.0703125;-0.988281;-0.234375;0.0195313;0.476563
3;0.225586;0.495605;-0.707057;0.451172;0.015625;0.015625;0.0507813;-0.417969;-0.101563;-0.914063;0.0273438;-0.0625;0.515625
4;0.212891;0.655694;-0.594727;0.413574;0.0117188;-0.0234375;0.0976563;-0.214844;0.199219;-0.964844;-0.140625;-0.464844;0.964844
5;0.669045;0.442383;-0.557617;-0.213867;-0.0976563;0.0390625;0.00390625;0.824219;-0.511719;-0.203125;-0.496094;0.109375;0.046875
0.061;;;;;;;;;;;;
1;0.304199;0.849458;-0.407227;0.141602;0.0078125;0;-0.0078125;0.390625;0.472656;-0.761719;-0.3125;-0.382813;0.253906
2;0.554688;0.456543;-0.393555;0.57359;0.015625;-0.015625;0.0273438;0.0546875;0.0703125;-0.988281;-0.234375;0.0195313;0.476563
3;0.225586;0.495605;-0.707057;0.451172;0.0117188;0.00390625;0.03125;-0.417969;-0.101563;-0.914063;0.0273438;-0.0625;0.515625
