0;;;;;;;;;;;;
1;-0.303711;-0.83017;0.417969;-0.209473;-0.00390625;0.0273438;-0.03125;0.320313;0.449219;-0.800781;-0.296875;-0.359375;0.277344
2;0.576172;0.444824;-0.366699;0.579387;0.03125;0.0195313;-0.0820313;0.0859375;0.0625;-0.976563;-0.234375;0.0390625;0.453125
3;0.399414;0.388672;-0.553711;0.618714;-0.0234375;0.0273438;-0.0742188;-0.371094;0.0664063;-0.925781;-0.0078125;-0.015625;0.503906
4;-0.226563;-0.714067;0.580078;-0.319824;0.00390625;0.0234375;-0.0546875;-0.0429688;0.21875;-0.96875;-0.144531;-0.40625;0.933594
5;0.720525;0.512695;-0.410645;-0.222168;0.09375;-0.0234375;-0.0273438;0.898438;-0.359375;-0.0976563;-0.488281;0.0546875;-0.046875
0.013;;;;;;;;;;;;
1;-0.303711;-0.830294;0.417969;-0.208984;0;0.0195313;-0.0234375;0.320313;0.449219;-0.800781;-0.296875;-0.359375;0.277344
2;0.576172;0.444824;-0.366699;0.579387;0.0273438;0.015625;-0.0820313;0.0859375;0.0625;-0.976563;-0.234375;0.0390625;0.453125
3;0.399414;0.38916;-0.553711;0.618407;-0.0273438;0.0351563;-0.0859375;-0.371094;0.0664063;-0.925781;-0.0078125;-0.015625;0.503906
4;-0.227051;-0.71413;0.580078;-0.319336;0.0234375;0.0117188;0.257813;-0.0429688;0.21875;-0.96875;-0.144531;-0.40625;0.933594
5;0.719944;0.512695;-0.411133;-0.223145;0.101563;-0.0078125;-0.0234375;0.898438;-0.359375;-0.0976563;-0.488281;0.0546875;-0.046875
0.023;;;;;;;;;;;;
1;-0.303711;-0.830048;0.418457;-0.208984;-0.00390625;0.0117188;-0.0273438;0.320313;0.449219;-0.800781;-0.296875;-0.359375;0.277344
2;0.575684;0.445313;-0.367188;0.579188;0.0234375;0.0117188;-0.0820313;0.0859375;0.0625;-0.976563;-0.234375;0.0390625;0.453125
3;0.399414;0.38916;-0.553711;0.618407;-0.0273438;0.0351563;-0.0976563;-0.371094;0.0664063;-0.925781;-0.0078125;-0.015625;0.503906
4;-0.226563;-0.714067;0.580078;-0.319824;0.0351563;0.0078125;-0.0585938;-0.0429688;0.21875;-0.96875;-0.148438;-0.40625;0.933594
5;0.719793;0.512695;-0.411133;-0.223633;0.101563;0.0078125;-0.0273438;0.898438;-0.359375;-0.0976563;-0.488281;0.0546875;-0.046875
0.034;;;;;;;;;;;;
1;-0.303223;-0.830349;0.418457;-0.208496;0;0.015625;-0.0195313;0.320313;0.449219;-0.800781;-0.296875;-0.359375;0.277344
2;0.575684;0.445801;-0.367188;0.578812;0.0195313;0.015625;-0.0703125;0.0859375;0.0625;-0.976563;-0.234375;0.0390625;0.453125
