0;;;;;;;;;;;;
1;-0.0131836;0.845974;-0.389648;0.36377;-0.0117188;0.0078125;-0.0078125;-0.300781;0.6875;-0.644531;0.0078125;-0.476563;0.210938
2;-0.00634766;0.609375;0.0458984;0.791527;0.0195313;0.00390625;-0.0390625;0.0625;0.980469;0.0664063;-0.253906;-0.472656;0.0234375
3;-0.39209;0.531738;-0.306641;0.685194;0.0195313;0.0390625;0.15625;-0.839844;0.503906;0.210938;0.257813;-0.394531;-0.0625
4;-0.00830078;0.552734;-0.0698242;0.830386;0.0195313;-0.0273438;0.273438;-0.0234375;0.992188;0.09375;-0.242188;-0.878906;0.382813
5;-0.0830078;-0.539551;0.828767;-0.123047;-0.296875;0.0390625;0;-0.121094;-0.398438;-0.933594;-0.0078125;0.00390625;0.484375
0.013;;;;;;;;;;;;
1;-0.0131836;0.846199;-0.38916;0.36377;-0.316406;0.0117188;-0.0078125;-0.300781;0.6875;-0.644531;0.0078125;-0.476563;0.210938
2;-0.00585938;0.609375;0.0458984;0.791531;0.015625;0.015625;-0.046875;0.0625;0.980469;0.0664063;-0.257813;-0.472656;0.0234375
3;-0.39209;0.531738;-0.306641;0.685194;0.0117188;0.03125;0.144531;-0.839844;0.503906;0.210938;0.257813;-0.394531;-0.0625
4;-0.00732422;0.550781;-0.0673828;0.831893;0.03125;-0.0117188;0.261719;-0.0117188;0.992188;0.101563;-0.242188;-0.878906;0.382813
5;-0.0830078;-0.540527;0.828057;-0.123535;-0.289063;0.0546875;-0.0390625;-0.121094;-0.390625;-0.9375;-0.0117188;0;0.484375
0.024;;;;;;;;;;;;
1;-0.0131836;0.845974;-0.389648;0.36377;-0.0078125;0.0117188;0;-0.300781;0.6875;-0.644531;0.0078125;-0.476563;0.210938
2;-0.00537109;0.609863;0.0463867;0.79113;0.0195313;0.0234375;-0.046875;0.0625;0.980469;0.0664063;-0.257813;-0.472656;0.0234375
3;-0.391602;0.531738;-0.306152;0.685692;0;0.0195313;0.109375;-0.839844;0.503906;0.210938;0.257813;-0.394531;-0.0625
4;-0.00683594;0.548828;-0.0654297;0.833343;0.03125;0.0078125;0.199219;-0.0078125;0.976563;0.09375;-0.242188;-0.871094;0.386719
5;-0.0830078;-0.541992;0.827172;-0.123047;-0.269531;0.0507813;-0.0546875;-0.121094;-0.390625;-0.9375;-0.0117188;0;0.484375
0.035;;;;;;;;;;;;
1;-0.0126953;0.845981;-0.389648;0.36377;-0.015625;0.0078125;0;-0.300781;0.6875;-0.644531;0.0078125;-0.476563;0.210938
2;-0.00488281;0.609863;0.046875;0.791104;0.0273438;0.0234375;-0.0117188;0.0664063;0.980469;0.0664063;-0.257813;-0.472656;0.0234375
3;-0.391113;0.532227;-0.306152;0.685592;-0.00390625;0.0234375;0.0859375;-0.839844;0.507813;0.210938;0.257813;-0.394531;-0.0625
4;-0.00634766;0.547363;-0.0639648;0.834423;0.0234375;0.0234375;0.144531;-0.0078125;0.980469;0.0898438;-0.242188;-0.863281;0.386719
5;-0.0830078;-0.542969;0.826531;-0.123047;-0.199219;0.0273438;-0.0742188;-0.117188;-0.386719;-0.941406;-0.0117188;0;0.484375
0.045;;;;;;;;;;;;
1;-0.0126953;0.845981;-0.389648;0.36377;-0.0234375;0;0.0195313;-0.300781;0.6875;-0.644531;0.0078125;-0.476563;0.210938
2;-0.00488281;0.609863;0.046875;0.791104;0.0273438;0.0234375;0.0117188;0.0664063;0.980469;0.0664063;-0.257813;-0.472656;0.0234375
3;-0.391113;0.532227;-0.305664;0.68581;-0.0117188;0.0234375;0.0742188;-0.839844;0.507813;0.210938;0.257813;-0.394531;-0.0625
4;-0.00585938;0.54541;-0.0625;0.835815;0.0195313;0.0273438;0.0820313;-0.0195313;0.984375;0.09375;-0.25;-0.855469;0.386719
