0;;;;;;;;;;;;
1;-0.0708008;0.879289;-0.281738;0.377441;0.0976563;0.160156;0.078125;-0.308594;0.777344;-0.417969;0.0195313;-0.492188;0.144531
2;0.169434;0.709785;0.145996;0.667969;0.214844;-0.03125;0.0234375;0.433594;0.894531;-0.00390625;-0.390625;-0.355469;0.0195313
3;-0.25293;0.641602;-0.174805;0.702721;0.15625;0.0078125;0.117188;-0.574219;0.816406;0.132813;0.0742188;-0.480469;-0.0351563
4;0.163086;0.754979;-0.0219727;0.634766;0.0820313;-0.105469;0.144531;0.261719;0.910156;0;-0.394531;-0.789063;0.441406
5;0.148438;0.704413;-0.672852;0.17041;-0.136719;0.125;0.0429688;-0.0390625;0.0351563;-1.03906;-0.0898438;-0.183594;0.433594
0.011;;;;;;;;;;;;
1;-0.0668945;0.879018;-0.28418;0.376953;0.210938;0.152344;0.0429688;-0.304688;0.773438;-0.425781;0.0195313;-0.492188;0.144531
2;0.168945;0.70852;0.145996;0.669434;0.195313;-0.0703125;-0.03125;0.433594;0.894531;-0.00390625;-0.390625;-0.355469;0.0195313
3;-0.252441;0.63916;-0.175781;0.704875;0.171875;0.0234375;0.101563;-0.574219;0.816406;0.132813;0.0742188;-0.480469;-0.0351563
4;0.164063;0.753518;-0.0224609;0.63623;0.0742188;-0.136719;0.164063;0.273438;0.902344;-0.0078125;-0.398438;-0.785156;0.445313
5;0.148926;0.704191;-0.672852;0.170898;-0.175781;0.113281;0.0976563;-0.0351563;0.0351563;-1.03516;-0.0898438;-0.183594;0.433594
0.046;;;;;;;;;;;;
1;-0.0566406;0.877406;-0.294434;0.374512;0.304688;0.121094;0;-0.304688;0.773438;-0.445313;0.015625;-0.492188;0.144531
2;0.168457;0.703891;0.146484;0.674316;0.226563;-0.0625;-0.113281;0.433594;0.894531;-0.0078125;-0.390625;-0.355469;0.0195313
3;-0.249512;0.632813;-0.177734;0.711128;0.183594;0.078125;0.0195313;-0.570313;0.8125;0.128906;0.0742188;-0.480469;-0.0351563
4;0.169434;0.747273;-0.0244141;0.64209;0.125;-0.148438;0.0546875;0.328125;0.894531;-0.0273438;-0.398438;-0.78125;0.449219
5;0.151367;0.703433;-0.672852;0.171875;0.00390625;0.113281;0.148438;-0.03125;0.0351563;-1.03125;-0.09375;-0.183594;0.433594
0.059;;;;;;;;;;;;
1;-0.0556641;0.877513;-0.294922;0.374023;0.59375;0.15625;-0.277344;-0.203125;0.675781;-0.316406;0.015625;-0.492188;0.148438
2;0.167969;0.702601;0.146484;0.675781;0.21875;-0.0625;-0.125;0.433594;0.894531;-0.0078125;-0.390625;-0.355469;0.0195313
3;-0.248535;0.631836;-0.178711;0.712093;0.179688;0.078125;-0.00390625;-0.570313;0.8125;0.128906;0.0742188;-0.480469;-0.0351563
4;0.171387;0.745549;-0.0249023;0.643555;0.136719;-0.132813;0.0273438;0.316406;0.914063;-0.0195313;-0.398438;-0.789063;0.449219
5;0.152344;0.702167;-0.673828;0.172363;0.0507813;0.132813;0.0976563;-0.03125;0.0390625;-1.03125;-0.09375;-0.183594;0.433594
0.105;;;;;;;;;;;;
1;-0.0449219;0.87899;-0.292969;0.373535;0.121094;0.0820313;0.109375;-0.238281;0.699219;-0.394531;0.015625;-0.492188;0.148438
2;0.166504;0.696314;0.146484;0.682617;0.171875;-0.0625;-0.0351563;0.429688;0.894531;-0.0117188;-0.390625;-0.355469;0.0195313
3;-0.245605;0.629883;-0.179688;0.714589;0.144531;0.132813;-0.0117188;-0.566406;0.8125;0.121094;0.0703125;-0.480469;-0.0351563
4;0.176758;0.73826;-0.0268555;0.650391;0.183594;-0.0234375;-0.0195313;0.320313;0.917969;-0.0234375;-0.398438;-0.785156;0.453125
5;0.154785;0.699872;-0.675781;0.171875;0.144531;0.113281;-0.0664063;-0.0234375;0.0390625;-1.02734;-0.09375;-0.1875;0.429688
0.116;;;;;;;;;;;;
1;-0.0429688;0.87925;-0.29248;0.373535;0.0664063;0.09375;0.125;-0.242188;0.699219;-0.398438;0.015625;-0.492188;0.148438
2;0.166016;0.694991;0.146484;0.684082;0.164063;-0.0625;0.00390625;0.429688;0.894531;-0.0117188;-0.390625;-0.355469;0.0195313
