0;;;;;;;;;;;;
1;-0.302734;-0.830102;0.440918;-0.157715;0.0507813;0.046875;-0.191406;0.328125;0.40625;-0.757813;-0.296875;-0.363281;0.289063
2;0.537109;0.492188;-0.422852;0.538945;0.0234375;0.0273438;-0.0195313;0.0859375;0.0546875;-0.921875;-0.257813;0.0078125;0.457031
3;0.379883;0.414551;-0.572266;0.59695;0.0117188;-0.015625;-0.0820313;-0.363281;0.0820313;-0.914063;-0.0273438;-0.0351563;0.515625
4;-0.263672;-0.649002;0.534668;-0.472656;0;-0.0273438;-0.0664063;-0.101563;0.320313;-0.902344;-0.152344;-0.460938;0.949219
5;0.659419;0.476074;-0.547363;-0.197266;0.078125;-0.0234375;0.0234375;0.765625;-0.449219;-0.371094;-0.507813;0.0859375;0.0585938
0.011;;;;;;;;;;;;
1;-0.30127;-0.830727;0.440918;-0.157227;0.128906;0.0625;-0.144531;0.320313;0.402344;-0.75;-0.296875;-0.367188;0.289063
2;0.538921;0.493164;-0.422363;0.536621;0.0390625;0.0234375;-0.0507813;0.0976563;0.0507813;-0.914063;-0.257813;0.0078125;0.457031
3;0.378418;0.415527;-0.571777;0.597668;-0.0117188;-0.0429688;-0.164063;-0.347656;0.09375;-0.890625;-0.03125;-0.0351563;0.515625
4;-0.263184;-0.650758;0.533203;-0.472168;-0.03125;-0.03125;-0.144531;-0.0898438;0.316406;-0.886719;-0.152344;-0.457031;0.949219
5;0.658167;0.476563;-0.549316;-0.194824;0.175781;-0.0820313;0.0234375;0.765625;-0.445313;-0.363281;-0.507813;0.0859375;0.0585938
0.02;;;;;;;;;;;;
1;-0.300293;-0.831006;0.441406;-0.15625;0.175781;0.0820313;-0.121094;0.320313;0.402344;-0.75;-0.292969;-0.367188;0.289063
2;0.539865;0.494141;-0.421875;0.535156;0.0390625;0.0078125;-0.117188;0.109375;0.0507813;-0.914063;-0.257813;0.0078125;0.457031
3;0.377441;0.416016;-0.571777;0.597946;-0.0273438;-0.046875;-0.214844;-0.347656;0.101563;-0.878906;-0.03125;-0.0351563;0.515625
4;-0.263184;-0.652309;0.531738;-0.47168;-0.0390625;-0.03125;-0.238281;-0.0859375;0.3125;-0.882813;-0.148438;-0.453125;0.949219
