0;;;;;;;;;;;;
1;0.794485;0.27002;-0.48584;0.244629;0.0078125;-0.0078125;0.0078125;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0410156;-0.161133;0.0698242;0.983605;0;-0.015625;0.0195313;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148438;0.928858;0.0078125;-0.0078125;0.0117188;0.339844;0.734375;0.550781;-0.128906;-0.441406;-0.105469
4;-0.160645;-0.175293;0.456543;0.857341;-0.00390625;-0.0195313;0.0429688;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.578125
5;-0.302246;0.625;0.662925;0.280273;0;-0.0117188;0.0117188;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.006;;;;;;;;;;;;
1;0.794485;0.27002;-0.48584;0.244629;0.00390625;-0.0117188;0.0078125;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0410156;-0.161133;0.0698242;0.983605;0;-0.0117188;0.015625;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148438;0.928858;0.0078125;-0.00390625;0.0117188;0.339844;0.734375;0.550781;-0.128906;-0.441406;-0.105469
4;-0.160156;-0.175293;0.456543;0.857433;0;-0.0195313;0.0429688;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.578125
5;-0.302246;0.625;0.662925;0.280273;0;-0.0078125;0.0117188;-0.0078125;-0.0585938;0.984375;-0.136719;0.144531;-0.433594
0.015;;;;;;;;;;;;
1;0.794485;0.27002;-0.48584;0.244629;0.0078125;-0.0078125;0.0078125;0.191406;-0.734375;-0.652344;-0.253906;0.375;0.238281
2;0.0405273;-0.161133;0.0678711;0.983762;0;-0.0117188;0.0117188;0.117188;0.976563;-0.0976563;0;-0.480469;0.214844
3;-0.321289;-0.109375;0.148438;0.928858;0.00390625;-0.00390625;0.0078125;0.339844;0.734375;0.550781;-0.128906;-0.441406;-0.105469
4;-0.160156;-0.175293;0.456543;0.857433;-0.00390625;-0.0234375;0.046875;0.816406;0.515625;0.109375;-0.445313;-0.675781;0.578125
