0;;;;;;;;;;;;
1;0.211426;0.600586;0.143066;0.757712;0.0117188;0;0.0195313;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0395508;-0.339844;0.046875;0.93848;0;-0.0273438;0.0195313;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0532227;-0.459961;-0.117676;0.878496;0.0078125;-0.0117188;0.0273438;-0.152344;0.953125;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248535;0.370605;0.884863;-0.0117188;-0.03125;0.0820313;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.912599;0.124512;-0.38916;-0.0146484;0.00390625;-0.0273438;0.0195313;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.012;;;;;;;;;;;;
1;0.211426;0.600586;0.143066;0.757712;0;0;0.015625;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0395508;-0.339844;0.0463867;0.938504;-0.00390625;-0.03125;0.03125;0.0585938;0.984375;-0.105469;0.0625;-0.488281;0.164063
3;-0.0532227;-0.459961;-0.117676;0.878496;0.0117188;-0.0078125;0.015625;-0.152344;0.949219;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248535;0.370605;0.884863;-0.0078125;-0.03125;0.0742188;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.912599;0.124512;-0.38916;-0.0146484;0.03125;-0.0273438;0.0195313;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.024;;;;;;;;;;;;
1;0.211426;0.600586;0.143066;0.757712;0.0078125;0;0.015625;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0395508;-0.339844;0.0463867;0.938504;0;-0.0273438;0.0351563;0.0585938;0.984375;-0.105469;0.0625;-0.488281;0.164063
3;-0.0532227;-0.459961;-0.117676;0.878496;0.0078125;-0.0078125;0.0117188;-0.152344;0.949219;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248535;0.370605;0.884863;-0.015625;-0.03125;0.078125;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.912599;0.124512;-0.38916;-0.0146484;0.0234375;-0.03125;0.0234375;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.038;;;;;;;;;;;;
1;0.210449;0.601074;0.144043;0.757412;0;-0.00390625;0.0117188;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0405273;-0.339844;0.0483398;0.938364;0.015625;-0.0273438;0.0273438;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0532227;-0.459961;-0.117676;0.878496;0.0117188;-0.0078125;0.0195313;-0.152344;0.953125;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248535;0.370605;0.884863;-0.0117188;-0.03125;0.0820313;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.912599;0.124512;-0.38916;-0.0146484;0.00390625;-0.0273438;0.0195313;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.048;;;;;;;;;;;;
1;0.210449;0.601074;0.144043;0.757412;0.0078125;0;0.0195313;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0385742;-0.339844;0.0463867;0.938545;0.0234375;-0.0273438;0.0195313;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0532227;-0.459961;-0.117676;0.878496;0.0078125;-0.0117188;0.0117188;-0.152344;0.953125;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248535;0.370605;0.884863;-0.0117188;-0.0351563;0.078125;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.912599;0.124512;-0.38916;-0.0146484;0;-0.0273438;0.0195313;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.059;;;;;;;;;;;;
1;0.210449;0.601074;0.144043;0.757412;0.0117188;-0.00390625;0.0234375;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0390625;-0.339844;0.0458984;0.938549;0.015625;-0.03125;0.0195313;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0537109;-0.459961;-0.117676;0.878467;0.015625;-0.0078125;0.0117188;-0.152344;0.953125;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248535;0.370605;0.884863;-0.015625;-0.0351563;0.078125;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.912599;0.124512;-0.38916;-0.0146484;0.0195313;-0.0273438;0.0117188;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.071;;;;;;;;;;;;
1;0.209961;0.601074;0.144043;0.757547;0.00390625;-0.0078125;0.0234375;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0395508;-0.340332;0.0458984;0.938351;0.00390625;-0.03125;0.0234375;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0532227;-0.459961;-0.117676;0.878496;0.00390625;-0.0078125;0.015625;-0.152344;0.953125;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248535;0.370605;0.884863;-0.0117188;-0.0351563;0.0859375;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.912599;0.124512;-0.38916;-0.0146484;0.0195313;-0.0195313;0.0195313;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.1;;;;;;;;;;;;
1;0.209961;0.601074;0.144043;0.757547;0.00390625;-0.00390625;0.0117188;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0395508;-0.340332;0.0458984;0.938351;0.00390625;-0.03125;0.03125;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0527344;-0.459961;-0.116211;0.878721;0.015625;-0.0078125;0.0195313;-0.152344;0.949219;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248535;0.370605;0.884863;-0.0117188;-0.0351563;0.0742188;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.912599;0.124512;-0.38916;-0.0146484;0.00390625;-0.0273438;0.0195313;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.108;;;;;;;;;;;;
1;0.209961;0.601074;0.144043;0.757547;0;-0.00390625;0.0117188;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0395508;-0.340332;0.0458984;0.938351;0.0195313;-0.0273438;0.0273438;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0527344;-0.459961;-0.116211;0.878721;0.015625;-0.0117188;0.015625;-0.152344;0.953125;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248535;0.370605;0.884863;-0.0117188;-0.03125;0.0820313;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.912599;0.124512;-0.38916;-0.0146484;0.015625;-0.0273438;0.0234375;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.117;;;;;;;;;;;;
1;0.209961;0.601074;0.144043;0.757547;0.0117188;0;0.0195313;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0395508;-0.34082;0.0463867;0.93815;0.015625;-0.03125;0.0351563;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0527344;-0.459961;-0.116211;0.878721;0.0117188;-0.0078125;0.0234375;-0.152344;0.953125;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248047;0.370605;0.885;-0.0117188;-0.0351563;0.078125;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.91239;0.124512;-0.389648;-0.0146484;0.0117188;-0.0273438;0.0195313;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.13;;;;;;;;;;;;
1;0.209961;0.601074;0.144043;0.757547;0.0078125;0;0.0234375;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0395508;-0.34082;0.0463867;0.93815;0.0078125;-0.03125;0.0234375;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0527344;-0.459961;-0.116211;0.878721;0.0078125;-0.0078125;0.0117188;-0.152344;0.953125;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248535;0.370605;0.884863;-0.0078125;-0.0351563;0.0703125;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.91239;0.124512;-0.389648;-0.0146484;0.015625;-0.0234375;0.015625;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.143;;;;;;;;;;;;
1;0.211426;0.600586;0.143066;0.757712;0.00390625;-0.00390625;0.0234375;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0400391;-0.34082;0.0483398;0.938031;0.00390625;-0.0351563;0.0234375;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0527344;-0.459961;-0.116211;0.878721;0.00390625;-0.0117188;0.015625;-0.152344;0.953125;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248047;0.370605;0.885;-0.0195313;-0.03125;0.0742188;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.91239;0.124512;-0.389648;-0.0146484;0.015625;-0.03125;0.0234375;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.156;;;;;;;;;;;;
1;0.211426;0.600586;0.143066;0.757712;0.0078125;-0.00390625;0.0234375;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0405273;-0.34082;0.0483398;0.93801;0.0078125;-0.0273438;0.0273438;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0527344;-0.459961;-0.116211;0.878721;0.015625;-0.0078125;0.0195313;-0.152344;0.953125;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248047;0.370605;0.885;-0.0117188;-0.03125;0.0820313;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.91239;0.124512;-0.389648;-0.0146484;0.0117188;-0.0273438;0.015625;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.166;;;;;;;;;;;;
1;0.211426;0.600586;0.143066;0.757712;0.00390625;-0.00390625;0.015625;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0395508;-0.341309;0.0454102;0.93802;0.0117188;-0.0273438;0.0273438;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0532227;-0.459961;-0.117676;0.878496;0.015625;-0.0117188;0.0195313;-0.152344;0.953125;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248047;0.370605;0.885;-0.0117188;-0.0351563;0.0820313;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.91239;0.124512;-0.389648;-0.0146484;0.0117188;-0.0234375;0.0234375;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.181;;;;;;;;;;;;
1;0.211426;0.600586;0.142578;0.757804;0.00390625;0;0.015625;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0390625;-0.341309;0.0458984;0.938017;0.015625;-0.03125;0.0351563;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0532227;-0.459961;-0.117676;0.878496;0.015625;-0.0078125;0.0195313;-0.152344;0.953125;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248047;0.370605;0.885;-0.0117188;-0.0351563;0.0742188;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.912382;0.124512;-0.389648;-0.0151367;0.015625;-0.0273438;0.0195313;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.2;;;;;;;;;;;;
1;0.210449;0.601074;0.144043;0.757412;0.0078125;-0.00390625;0.015625;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0400391;-0.341797;0.0473633;0.937725;0.0078125;-0.0351563;0.0234375;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0537109;-0.459961;-0.117676;0.878467;0.0117188;-0.0078125;0.015625;-0.152344;0.953125;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248047;0.370605;0.885;-0.0078125;-0.03125;0.0820313;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.912382;0.124512;-0.389648;-0.0151367;0.0117188;-0.0234375;0.015625;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.231;;;;;;;;;;;;
1;0.210449;0.601074;0.144043;0.757412;0.00390625;-0.00390625;0.0234375;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0400391;-0.342285;0.0483398;0.937497;0.0078125;-0.0273438;0.0234375;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0532227;-0.459473;-0.117676;0.878752;0.0117188;-0.0078125;0.0195313;-0.152344;0.953125;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248047;0.370605;0.885;-0.0078125;-0.03125;0.078125;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.91239;0.124512;-0.389648;-0.0146484;0.0117188;-0.03125;0.0195313;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.239;;;;;;;;;;;;
1;0.210449;0.601563;0.144043;0.757024;0.0078125;0;0.0234375;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0400391;-0.342285;0.0483398;0.937497;0.0117188;-0.0273438;0.0273438;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0532227;-0.459473;-0.117676;0.878752;0.0117188;-0.00390625;0.015625;-0.152344;0.953125;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248535;0.370605;0.884863;-0.0117188;-0.0390625;0.078125;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.91239;0.124512;-0.389648;-0.0146484;0.0195313;-0.0234375;0.0195313;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.251;;;;;;;;;;;;
1;0.210449;0.601563;0.144043;0.757024;0.00390625;0;0.015625;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0395508;-0.342773;0.0454102;0.937486;0.0117188;-0.03125;0.0234375;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0527344;-0.459473;-0.116211;0.878976;0.0078125;-0.0078125;0.0078125;-0.152344;0.949219;0.195313;0.203125;-0.421875;0.00390625
4;-0.133789;-0.248535;0.370605;0.884863;-0.0117188;-0.0390625;0.0742188;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
5;0.912382;0.124512;-0.389648;-0.0151367;0.0273438;-0.0234375;0.0273438;0.242188;-0.976563;-0.0703125;-0.207031;0.386719;-0.0820313
0.263;;;;;;;;;;;;
1;0.210449;0.601563;0.144043;0.757024;0.0078125;-0.00390625;0.015625;0.46875;0.863281;-0.144531;-0.402344;-0.375;0.109375
2;0.0390625;-0.343262;0.0458984;0.937304;0.015625;-0.0273438;0.03125;0.0585938;0.984375;-0.105469;0.0625;-0.484375;0.164063
3;-0.0527344;-0.459473;-0.116211;0.878976;0.0078125;-0.0078125;0.0195313;-0.152344;0.949219;0.195313;0.203125;-0.417969;0.00390625
4;-0.133789;-0.248535;0.370605;0.884863;-0.0117188;-0.03125;0.0742188;0.699219;0.667969;0.0507813;-0.296875;-0.796875;0.539063
