0;;;;;;;;;;;;
1;0.209961;0.595215;0.144043;0.76216;0.00390625;0;0.0078125;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0439453;-0.320801;0.0463867;0.944989;0;-0.0117188;0.0117188;0.0585938;0.984375;-0.109375;0.0546875;-0.5;0.171875
3;-0.050293;-0.341797;-0.0966797;0.933434;0;-0.0078125;0.00390625;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
4;-0.138672;-0.118164;0.291504;0.93906;0;-0.015625;0.0273438;0.5625;0.769531;0.183594;-0.316406;-0.804688;0.523438
5;0.83842;0.0839844;-0.535156;-0.0600586;0;-0.015625;-0.00390625;0.210938;-1;0.00390625;-0.230469;0.402344;-0.0742188
0.016;;;;;;;;;;;;
1;0.209961;0.595215;0.144043;0.76216;0.0078125;0;0.0117188;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0439453;-0.320801;0.0463867;0.944989;0.00390625;-0.0117188;0.0078125;0.0585938;0.980469;-0.109375;0.0546875;-0.5;0.171875
3;-0.050293;-0.341797;-0.0966797;0.933434;0;-0.00390625;0.0078125;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
4;-0.138672;-0.118164;0.291504;0.93906;0;-0.0117188;0.0234375;0.5625;0.769531;0.183594;-0.316406;-0.804688;0.523438
5;0.83842;0.0839844;-0.535156;-0.0600586;-0.015625;-0.0195313;0;0.207031;-1;0.00390625;-0.230469;0.402344;-0.0742188
0.023;;;;;;;;;;;;
1;0.209961;0.595215;0.144043;0.76216;0;-0.00390625;0.0078125;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0439453;-0.320801;0.0463867;0.944989;0.00390625;-0.0117188;0.015625;0.0585938;0.980469;-0.109375;0.0546875;-0.5;0.171875
3;-0.050293;-0.341797;-0.0966797;0.933434;0;-0.00390625;0.0078125;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
4;-0.138672;-0.118164;0.291504;0.93906;-0.00390625;-0.0078125;0.0273438;0.5625;0.769531;0.183594;-0.316406;-0.804688;0.523438
5;0.838405;0.0844727;-0.535156;-0.0595703;-0.0273438;-0.0195313;-0.00390625;0.207031;-1;0.00390625;-0.230469;0.402344;-0.0742188
0.046;;;;;;;;;;;;
1;0.209961;0.595215;0.144043;0.76216;0;0;0.0117188;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0439453;-0.320801;0.0463867;0.944989;0.00390625;-0.0117188;0.0078125;0.0585938;0.984375;-0.109375;0.0546875;-0.5;0.171875
3;-0.050293;-0.341797;-0.0966797;0.933434;0;-0.00390625;0.0078125;-0.140625;0.960938;0.15625;0.167969;-0.433594;0.0546875
