0;;;;;;;;;;;;
1;0.208984;0.594238;0.145508;0.762911;0.0078125;0;0.00390625;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0449219;-0.319824;0.0483398;0.945176;0;-0.0078125;0.0117188;0.0585938;0.984375;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0629883;-0.317383;-0.0859375;0.942293;0;-0.00390625;0.00390625;-0.117188;0.960938;0.167969;0.148438;-0.433594;0.0507813
4;-0.183105;-0.133301;0.339355;0.912985;0;-0.0117188;0.0273438;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
5;0.781367;0.081543;-0.618652;0.00927734;-0.0273438;-0.015625;0.00390625;0.117188;-0.996094;-0.117188;-0.207031;0.417969;0.0078125
0.012;;;;;;;;;;;;
1;0.208984;0.594238;0.145996;0.762818;0;-0.00390625;0;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0454102;-0.320313;0.0478516;0.945012;0;-0.0117188;0.0117188;0.0585938;0.984375;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0629883;-0.317383;-0.0859375;0.942293;0.00390625;0;0.0078125;-0.117188;0.960938;0.167969;0.148438;-0.433594;0.0507813
4;-0.183105;-0.133301;0.339355;0.912985;0;-0.0117188;0.0273438;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
5;0.781367;0.081543;-0.618652;0.00927734;0.00390625;-0.00390625;0.00390625;0.117188;-0.996094;-0.117188;-0.207031;0.417969;0.0078125
0.026;;;;;;;;;;;;
1;0.208984;0.594238;0.145508;0.762911;0;-0.00390625;0.00390625;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0439453;-0.320313;0.0463867;0.945154;0;-0.0117188;0.0078125;0.0585938;0.984375;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0629883;-0.317383;-0.0859375;0.942293;0;-0.00390625;0.00390625;-0.117188;0.960938;0.167969;0.148438;-0.433594;0.0507813
4;-0.183105;-0.133301;0.339355;0.912985;0;-0.015625;0.0234375;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
5;0.781367;0.081543;-0.618652;0.00927734;0.0195313;-0.00390625;0.0078125;0.117188;-0.996094;-0.117188;-0.207031;0.417969;0.0078125
0.054;;;;;;;;;;;;
1;0.209961;0.59375;0.144531;0.763209;0;0;0.00390625;0.464844;0.863281;-0.144531;-0.40625;-0.382813;0.113281
2;0.0444336;-0.320801;0.0463867;0.944966;0;-0.0117188;0.0117188;0.0585938;0.984375;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0629883;-0.316895;-0.0859375;0.942457;0;-0.00390625;0.0078125;-0.117188;0.960938;0.167969;0.148438;-0.433594;0.0507813
4;-0.183105;-0.133301;0.338867;0.913166;-0.00390625;-0.0117188;0.0234375;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
5;0.781367;0.081543;-0.618652;0.00927734;0.0078125;-0.0078125;0.00390625;0.117188;-0.996094;-0.117188;-0.207031;0.417969;0.0078125
0.095;;;;;;;;;;;;
1;0.209961;0.59375;0.144043;0.763301;0;0;0.00390625;0.464844;0.863281;-0.144531;-0.40625;-0.386719;0.117188
2;0.0439453;-0.320801;0.0463867;0.944989;0;-0.0117188;0.0078125;0.0585938;0.984375;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0625;-0.316895;-0.0839844;0.942666;0;-0.00390625;0.00390625;-0.117188;0.960938;0.167969;0.148438;-0.433594;0.0507813
4;-0.183105;-0.133301;0.338867;0.913166;-0.00390625;-0.0078125;0.0234375;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
5;0.781367;0.081543;-0.618652;0.00927734;0.0078125;-0.0078125;0;0.117188;-0.996094;-0.117188;-0.207031;0.417969;0.0078125
0.105;;;;;;;;;;;;
1;0.209961;0.59375;0.144531;0.763209;0;0;0.00390625;0.464844;0.863281;-0.144531;-0.40625;-0.386719;0.117188
2;0.0439453;-0.320801;0.0463867;0.944989;0.00390625;-0.0117188;0.0078125;0.0585938;0.984375;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0625;-0.316406;-0.0839844;0.942829;0;0;0.0078125;-0.117188;0.960938;0.167969;0.148438;-0.433594;0.0507813
4;-0.183105;-0.133789;0.338867;0.913095;-0.00390625;-0.0117188;0.0234375;0.648438;0.679688;0.234375;-0.363281;-0.785156;0.488281
5;0.781367;0.081543;-0.618652;0.00927734;0.015625;0;0.0117188;0.117188;-0.996094;-0.117188;-0.207031;0.417969;0.0078125
0.121;;;;;;;;;;;;
1;0.209961;0.59375;0.144531;0.763209;0;0;0.0078125;0.464844;0.863281;-0.144531;-0.40625;-0.386719;0.117188
2;0.0439453;-0.320801;0.0463867;0.944989;0;-0.0078125;0.0078125;0.0585938;0.984375;-0.113281;0.0585938;-0.496094;0.175781
3;-0.0625;-0.316406;-0.0839844;0.942829;0;0;0.0078125;-0.117188;0.960938;0.167969;0.148438;-0.433594;0.0507813
